id,url,region,region_url,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
7045114116,https://albanyga.craigslist.org/apa/d/albany-the-reserve-at-1404/7045114116.html,albany,https://albanyga.craigslist.org,721,apartment,1111,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00N0N_dyhuJ0VlCh6_600x450.jpg,"Welcome Home! Ask for Melissa Welcome to The Reserve 1404 a residential community featuring two and three bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7045112277,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7045112277.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7045111513,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7045111513.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,1,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7045110745,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7045110745.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7045109711,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7045109711.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7045108983,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7045108983.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7045104245,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7045104245.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7045100080,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7045100080.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7043859447,https://albanyga.craigslist.org/apa/d/albany-the-reserve-at-1404/7043859447.html,albany,https://albanyga.craigslist.org,864,apartment,1258,3,2,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00K0K_8oIPi27wOYp_600x450.jpg,"Welcome Home! Ask for Melissa Welcome to The Reserve 1404 a residential community featuring two and three bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7043857197,https://albanyga.craigslist.org/apa/d/albany-the-reserve-at-1404/7043857197.html,albany,https://albanyga.craigslist.org,864,apartment,1258,3,2,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00K0K_8oIPi27wOYp_600x450.jpg,"Welcome Home! Ask for Melissa Welcome to The Reserve 1404 a residential community featuring two and three bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7043856797,https://albanyga.craigslist.org/apa/d/albany-the-reserve-at-1404/7043856797.html,albany,https://albanyga.craigslist.org,864,apartment,1258,3,2,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00K0K_8oIPi27wOYp_600x450.jpg,"Welcome Home! Ask for Melissa Welcome to The Reserve 1404 a residential community featuring two and three bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7043856315,https://albanyga.craigslist.org/apa/d/albany-the-reserve-at-1404/7043856315.html,albany,https://albanyga.craigslist.org,864,apartment,1258,3,2,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00K0K_8oIPi27wOYp_600x450.jpg,"Welcome Home! Ask for Melissa Welcome to The Reserve 1404 a residential community featuring two and three bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7043855769,https://albanyga.craigslist.org/apa/d/albany-the-reserve-at-1404/7043855769.html,albany,https://albanyga.craigslist.org,721,apartment,1111,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00N0N_dyhuJ0VlCh6_600x450.jpg,"Welcome Home! Ask for Melissa Welcome to The Reserve 1404 a residential community featuring two and three bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7043855195,https://albanyga.craigslist.org/apa/d/albany-the-reserve-at-1404/7043855195.html,albany,https://albanyga.craigslist.org,721,apartment,1111,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00N0N_dyhuJ0VlCh6_600x450.jpg,"Welcome Home! Ask for Melissa Welcome to The Reserve 1404 a residential community featuring two and three bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7043854291,https://albanyga.craigslist.org/apa/d/albany-the-reserve-at-1404/7043854291.html,albany,https://albanyga.craigslist.org,721,apartment,1111,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00N0N_dyhuJ0VlCh6_600x450.jpg,"Welcome Home! Ask for Melissa Welcome to The Reserve 1404 a residential community featuring two and three bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7043847052,https://albanyga.craigslist.org/apa/d/albany-the-reserve-at-1404/7043847052.html,albany,https://albanyga.craigslist.org,721,apartment,1111,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00N0N_dyhuJ0VlCh6_600x450.jpg,"Welcome Home! Ask for Melissa Welcome to The Reserve 1404 a residential community featuring two and three bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7043846678,https://albanyga.craigslist.org/apa/d/albany-the-reserve-at-1404/7043846678.html,albany,https://albanyga.craigslist.org,721,apartment,1111,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00N0N_dyhuJ0VlCh6_600x450.jpg,"Welcome Home! Ask for Melissa Welcome to The Reserve 1404 a residential community featuring two and three bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7043844830,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7043844830.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7043844467,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7043844467.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7043843044,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7043843044.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7043842671,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7043842671.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
